Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
"Raw milk, at farm (Q 1.0) | Enteric emissions, lactating cows, 1 kg methane (WFLDB 3.1)",0.0269471526,kg CO2 eq,18,6,5,-,Global,Raw milk
"Raw milk, at farm (Q 1.0) | Enteric emissions, dry cows and heifers, 1 kg methane (WFLDB 3.1)",0.0098240407,kg CO2 eq,19,6,5,-,Global,Raw milk
"Hay, mechanized, irrigated, cold-air dried, at farm",0.0033251401,kg CO2 eq,20,6,5,-,Global,Hay
"Raw milk, medium scale production, non-grazing, mechanized, at farm",0.0679949009,kg CO2 eq,21,5,4,-,Global,Raw milk
"Raw milk, at farm (Q 1.0) | Enteric emissions, lactating cows, 1 kg methane (WFLDB 3.1)",0.0293891391,kg CO2 eq,22,6,21,-,Global,Raw milk
"Concentrate feed, protein concentrate, for dairy cows, at farm (WFLDB 3.1)",0.0204547118,kg CO2 eq,23,6,21,-,Global,Concentrate feed
"Soybean, at farm",0.0149715126,kg CO2 eq,24,7,23,-,Global,Soybean
"soybeans, at farm | Soybean, at farm (WFLDB 3.1)",0.0064175539,kg CO2 eq,25,8,24,-,Brazil,soybeans
"Land use change, annual crop (WFLDB 3.1)",0.0052884739,kg CO2 eq,26,9,25,-,Brazil,Land use change
"clear-cutting, primary forest to arable land",0.0049016146,kg CO2 eq,27,10,26,-,Brazil,clear-cutting
"soybeans, at farm/kg",0.0047003912,kg CO2 eq,28,8,24,-,United States,soybeans
"Soybean, at farm (WFLDB 3.1)",0.0038535674,kg CO2 eq,29,8,24,-,Argentina,Soybean
"Land use change, annual crop (WFLDB 3.1)",0.0036854815,kg CO2 eq,30,9,29,-,Argentina,Land use change
"clear-cutting, secondary forest to arable land",0.0033814486,kg CO2 eq,31,10,30,-,Argentina,clear-cutting
"Raw milk, at farm (Q 1.0) | Enteric emissions, dry cows and heifers, 1 kg methane (WFLDB 3.1)",0.0115205425,kg CO2 eq,32,6,21,-,Global,Raw milk
"Hay, mechanized, irrigated, cold-air dried, at farm",0.0040037583,kg CO2 eq,33,6,21,-,Global,Hay
"Raw milk, medium scale production, grazing, mechanized, at farm | Raw milk archetype, medium scale production, grazing, mechanized, at farm (WFLDB 3.1)",0.0387878114,kg CO2 eq,34,5,4,-,Global,Raw milk
"Raw milk, at farm (Q 1.0) | Enteric emissions, lactating cows, 1 kg methane (WFLDB 3.1)",0.0172278382,kg CO2 eq,35,6,34,-,Global,Raw milk
"Concentrate feed, protein concentrate, for dairy cows, at farm (WFLDB 3.1)",0.0109513874,kg CO2 eq,36,6,34,-,Global,Concentrate feed
"Soybean, at farm",0.0080157,kg CO2 eq,37,7,36,-,Global,Soybean
"soybeans, at farm | Soybean, at farm (WFLDB 3.1)",0.0034359379,kg CO2 eq,38,8,37,-,Brazil,soybeans
"Land use change, annual crop (WFLDB 3.1)",0.002831432,kg CO2 eq,39,9,38,-,Brazil,Land use change
"clear-cutting, primary forest to arable land",0.0026243088,kg CO2 eq,40,10,39,-,Brazil,clear-cutting
"soybeans, at farm/kg",0.0025165744,kg CO2 eq,41,8,37,-,United States,soybeans
"Soybean, at farm (WFLDB 3.1)",0.0020631877,kg CO2 eq,42,8,37,-,Argentina,Soybean
"Raw milk, at farm (Q 1.0) | Enteric emissions, dry cows and heifers, 1 kg methane (WFLDB 3.1)",0.006213636,kg CO2 eq,43,6,34,-,Global,Raw milk
"Manure management at farm, liquid-slurry, temperate, per kg VS (WFLDB 3.1)",0.0238237194,kg CO2 eq,44,5,4,-,Global,Manure management at farm
"Manure management at farm, lagooning, temperate, per kg VS (WFLDB 3.1)",0.0228578819,kg CO2 eq,45,5,4,-,Global,Manure management at farm
"Raw milk, at farm/RER (Q 1.0)",0.018699573,kg CO2 eq,46,5,4,-,United States,Raw milk
"diesel, burned in building machine",0.0092360512,kg CO2 eq,47,6,46,-,Global,diesel
Milking (WFLDB 3.1),0.0073084358,kg CO2 eq,48,6,46,-,United States,Milking (WFLDB 3.1)
"electricity, low voltage",0.0057200322,kg CO2 eq,49,7,48,-,United States,electricity
"Manure management at farm, solid storage, temperate, per kg VS (WFLDB 3.1)",0.003881834,kg CO2 eq,50,5,4,-,Global,Manure management at farm
"raw milk, production mix, at farm/kg/U",0.1853251609,kg CO2 eq,51,4,3,-,Pakistan,raw milk
"Raw milk, micro scale production, non-grazing, non-mechanized, at farm",0.143650778,kg CO2 eq,52,5,51,-,Global,Raw milk
"Raw milk, at farm (Q 1.0) | Enteric emissions, lactating cows, 1 kg methane (WFLDB 3.1)",0.0443925938,kg CO2 eq,53,6,52,-,Global,Raw milk
"Raw milk, at farm (Q 1.0) | Enteric emissions, dry cows and heifers, 1 kg methane (WFLDB 3.1)",0.0400029351,kg CO2 eq,54,6,52,-,Global,Raw milk
"Concentrate feed, protein concentrate, for dairy cows, at farm (WFLDB 3.1)",0.0323233306,kg CO2 eq,55,6,52,-,Global,Concentrate feed
"Soybean, at farm",0.023658566,kg CO2 eq,56,7,55,-,Global,Soybean
